year,category,sequence,shortname,circuit_name,rider,rider_name,team_name,bike_name,position,points,number,country,speed,time
2016,MotoGP,1,QAT,Losail,2058,"Lorenzo, Jorge",Movistar Yamaha MotoGP,Yamaha,1,25,99,ES,167.1,42'28.452
2016,MotoGP,1,QAT,Losail,2055,"Dovizioso, Andrea",Ducati Team,Ducati,2,20,4,IT,167.0,+2.019
2016,MotoGP,1,QAT,Losail,2293,"Marquez, Marc",Repsol Honda Team,Honda,3,16,93,ES,167.0,+2.287
2016,MotoGP,1,QAT,Losail,1762,"Rossi, Valentino",Movistar Yamaha MotoGP,Yamaha,4,13,46,IT,167.0,+2.387
2016,MotoGP,1,QAT,Losail,2015,"Pedrosa, Dani",Repsol Honda Team,Honda,5,11,26,ES,166.2,+14.083
2016,MotoGP,1,QAT,Losail,2428,"Viñales, Maverick",Team SUZUKI ECSTAR,Suzuki,6,10,25,ES,166.1,+15.423
2016,MotoGP,1,QAT,Losail,2218,"Espargaro, Pol",Monster Yamaha Tech 3,Yamaha,7,9,44,ES,165.9,+18.629
2016,MotoGP,1,QAT,Losail,2206,"Smith, Bradley",Monster Yamaha Tech 3,Yamaha,8,8,38,GB,165.9,+18.652
2016,MotoGP,1,QAT,Losail,2052,"Barbera, Hector",Avintia Racing,Ducati,9,7,8,ES,165.8,+21.160
2016,MotoGP,1,QAT,Losail,2288,"Redding, Scott",OCTO Pramac Yakhnich,Ducati,10,6,45,GB,165.6,+24.435
2016,MotoGP,1,QAT,Losail,2152,"Espargaro, Aleix",Team SUZUKI ECSTAR,Suzuki,11,5,41,ES,164.8,+35.847
2016,MotoGP,1,QAT,Losail,2142,"Laverty, Eugene",Aspar Team MotoGP,Ducati,12,4,50,IE,164.5,+41.756
2016,MotoGP,1,QAT,Losail,2059,"Bautista, Alvaro",Aprilia Racing Team Gresini,Aprilia,13,3,19,ES,164.4,+41.932
2016,MotoGP,1,QAT,Losail,2445,"Miller, Jack","Estrella Galicia 0,0 Marc VDS",Honda,14,2,43,AU,164.4,+41.982
2016,MotoGP,1,QAT,Losail,2202,"Rabat, Tito","Estrella Galicia 0,0 Marc VDS",Honda,15,1,53,ES,163.6,+54.953
2016,MotoGP,1,QAT,Losail,2174,"Bradl, Stefan",Aprilia Racing Team Gresini,Aprilia,-1,0,6,DE,163.5,11 Laps
2016,MotoGP,1,QAT,Losail,2562,"Baz, Loris",Avintia Racing,Ducati,-1,0,76,FR,164.0,14 Laps
2016,MotoGP,1,QAT,Losail,2425,"Crutchlow, Cal",LCR Honda,Honda,-1,0,35,GB,165.0,16 Laps
2016,MotoGP,1,QAT,Losail,2158,"Iannone, Andrea",Ducati Team,Ducati,-1,0,29,IT,165.7,17 Laps
2016,MotoGP,1,QAT,Losail,2383,"Hernandez, Yonny",Aspar Team MotoGP,Ducati,-1,0,68,CO,156.8,21 Laps
2016,Moto2,1,QAT,Losail,2075,"Luthi, Thomas",Garage Plus Interwetten,Kalex,1,25,12,CH,160.4,40'14.293
2016,Moto2,1,QAT,Losail,2338,"Salom, Luis",SAG Team,Kalex,2,20,39,ES,159.8,+9.610
2016,Moto2,1,QAT,Losail,2064,"Corsi, Simone",Speed Up Racing,Speed Up,3,16,24,IT,159.8,+9.665
2016,Moto2,1,QAT,Losail,2459,"Syahrin, Hafizh",Petronas Raceline Malaysia,Kalex,4,13,55,MY,159.5,+13.558
2016,Moto2,1,QAT,Losail,2245,"Aegerter, Dominique",CarXpert Interwetten,Kalex,5,11,77,CH,159.3,+16.064
2016,Moto2,1,QAT,Losail,2396,"Kent, Danny",Leopard Racing,Kalex,6,10,52,GB,159.3,+16.114
2016,Moto2,1,QAT,Losail,2517,"Morbidelli, Franco","Estrella Galicia 0,0 Marc VDS",Kalex,7,9,21,IT,160.4,+20.047
2016,Moto2,1,QAT,Losail,2471,"Rins, Alex",Paginas Amarillas HP 40,Kalex,8,8,40,ES,159.1,+20.170
2016,Moto2,1,QAT,Losail,2532,"Lowes, Sam",Federal Oil Gresini Moto2,Kalex,9,7,22,GB,158.9,+22.019
2016,Moto2,1,QAT,Losail,2520,"Marini, Luca",Forward Team,Kalex,10,6,10,IT,158.8,+24.249
2016,Moto2,1,QAT,Losail,2429,"Oliveira, Miguel",Leopard Racing,Kalex,11,5,44,PT,158.8,+24.254
2016,Moto2,1,QAT,Losail,2330,"Zarco, Johann",Ajo Motorsport,Kalex,12,4,5,FR,158.8,+24.570
2016,Moto2,1,QAT,Losail,2238,"Wilairot, Ratthapark",IDEMITSU Honda Team Asia,Kalex,13,3,14,TH,158.7,+25.664
2016,Moto2,1,QAT,Losail,2284,"Nakagami, Takaaki",IDEMITSU Honda Team Asia,Kalex,14,2,30,JP,158.6,+26.992
2016,Moto2,1,QAT,Losail,2157,"Cortese, Sandro",Dynavolt Intact GP,Kalex,15,1,11,DE,159.8,+29.736
2016,Moto2,1,QAT,Losail,2130,"Pasini, Mattia",Italtrans Racing Team,Kalex,16,0,54,IT,158.4,+30.404
2016,Moto2,1,QAT,Losail,2308,"Schrotter, Marcel",AGR Team,Kalex,17,0,23,DE,157.9,+38.446
2016,Moto2,1,QAT,Losail,2485,"Raffin, Jesko",Sports-Millions-EMWE-SAG,Kalex,18,0,2,CH,157.4,+46.363
2016,Moto2,1,QAT,Losail,2387,"Viñales, Isaac",Tech 3 Racing,Tech 3,19,0,32,ES,157.4,+46.543
2016,Moto2,1,QAT,Losail,2522,"Mulhauser, Robin",CarXpert Interwetten,Kalex,20,0,70,CH,155.4,+1'18.323
2016,Moto2,1,QAT,Losail,2345,"Tonucci, Alessandro",Tasca Racing Scuderia Moto2,Kalex,21,0,33,IT,154.9,+1'25.002
2016,Moto2,1,QAT,Losail,2259,"Vazquez, Efren",JPMoto Malaysia,Suter,22,0,8,ES,154.0,+1'39.572
2016,Moto2,1,QAT,Losail,2291,"Pons, Axel",AGR Team,Kalex,-1,0,49,ES,159.3,4 Laps
2016,Moto2,1,QAT,Losail,2573,"Vierge, Xavi",Tech 3 Racing,Tech 3,-1,0,97,ES,159.0,5 Laps
2016,Moto2,1,QAT,Losail,2388,"Simeon, Xavier",QMMF Racing Team,Speed Up,-1,0,19,BE,159.1,6 Laps
2016,Moto2,1,QAT,Losail,2475,"Marquez, Alex","Estrella Galicia 0,0 Marc VDS",Kalex,-1,0,73,ES,149.9,14 Laps
2016,Moto2,1,QAT,Losail,2315,"Folger, Jonas",Dynavolt Intact GP,Kalex,-1,0,94,DE,157.7,18 Laps
2016,Moto2,1,QAT,Losail,2065,"Simon, Julian",QMMF Racing Team,Speed Up,-1,0,60,ES,146.6,19 Laps
2016,Moto2,1,QAT,Losail,2539,"Pons, Edgar",Paginas Amarillas HP 40,Kalex,-1,0,57,ES,146.4,19 Laps
2016,Moto3,1,QAT,Losail,2473,"Antonelli, Niccolò",Ongetta-Rivacold,Honda,1,25,23,IT,152.0,38'12.161
2016,Moto3,1,QAT,Losail,2450,"Binder, Brad",Red Bull KTM Ajo,KTM,2,20,41,ZA,152.0,+0.007
2016,Moto3,1,QAT,Losail,2499,"Bagnaia, Francesco",ASPAR Mahindra Team Moto3,Mahindra,3,16,21,IT,152.0,+0.148
2016,Moto3,1,QAT,Losail,2470,"Fenati, Romano",SKY Racing Team VR46,KTM,4,13,5,IT,152.0,+0.435
2016,Moto3,1,QAT,Losail,2535,"Bastianini, Enea",Gresini Racing Moto3,Honda,5,11,33,IT,152.0,+0.606
2016,Moto3,1,QAT,Losail,2586,"Bulega, Nicolo",SKY Racing Team VR46,KTM,6,10,8,IT,152.0,+0.625
2016,Moto3,1,QAT,Losail,2488,"Navarro, Jorge","Estrella Galicia 0,0",Honda,7,9,9,ES,152.0,+0.674
2016,Moto3,1,QAT,Losail,2504,"Loi, Livio",RW Racing GP BV,Honda,8,8,11,BE,151.9,+1.710
2016,Moto3,1,QAT,Losail,2494,"Oettl, Philipp",Schedl GP Racing,KTM,9,7,65,DE,151.5,+8.611
2016,Moto3,1,QAT,Losail,2364,"Kornfeil, Jakub",Drive M7 SIC Racing Team,Honda,10,6,84,CZ,151.3,+10.947
2016,Moto3,1,QAT,Losail,2506,"Danilo, Jules",Ongetta-Rivacold,Honda,11,5,95,FR,151.2,+12.379
2016,Moto3,1,QAT,Losail,2585,"Mir, Joan",Leopard Racing,KTM,12,4,36,ES,151.2,+12.380
2016,Moto3,1,QAT,Losail,2563,"Quartararo, Fabio",Leopard Racing,KTM,13,3,20,FR,151.2,+12.401
2016,Moto3,1,QAT,Losail,2590,"Bendsneyder, Bo",Red Bull KTM Ajo,KTM,14,2,64,NL,151.2,+12.726
2016,Moto3,1,QAT,Losail,2591,"Canet, Aron","Estrella Galicia 0,0",Honda,15,1,44,ES,151.2,+12.784
2016,Moto3,1,QAT,Losail,2523,"Herrera, Maria",MH6 Laglisse,KTM,16,0,6,ES,151.2,+12.939
2016,Moto3,1,QAT,Losail,2509,"Migno, Andrea",SKY Racing Team VR46,KTM,17,0,16,IT,150.9,+17.152
2016,Moto3,1,QAT,Losail,2323,"Ono, Hiroki",Honda Team Asia,Honda,18,0,76,JP,150.9,+17.367
2016,Moto3,1,QAT,Losail,2541,"Rodrigo, Gabriel",RBA Racing Team,KTM,19,0,19,AR,150.9,+17.451
2016,Moto3,1,QAT,Losail,2592,"Norrodin, Adam",Drive M7 SIC Racing Team,Honda,20,0,7,MY,150.9,+17.519
2016,Moto3,1,QAT,Losail,2507,"Locatelli, Andrea",Leopard Racing,KTM,21,0,55,IT,150.9,+17.566
2016,Moto3,1,QAT,Losail,2579,"Pawi, Khairul Idham",Honda Team Asia,Honda,22,0,89,MY,150.9,+17.608
2016,Moto3,1,QAT,Losail,2565,"Binder, Darryn",Platinum Bay Real Estate,Mahindra,23,0,40,ZA,150.0,+31.939
2016,Moto3,1,QAT,Losail,2156,"Masbou, Alexis",Peugeot MC Saxoprint,Peugeot,24,0,10,FR,150.0,+31.949
2016,Moto3,1,QAT,Losail,2487,"Guevara, Juan Francisco",RBA Racing Team,KTM,25,0,58,ES,149.9,+32.120
2016,Moto3,1,QAT,Losail,2587,"Di Giannantonio, Fabio",Gresini Racing Moto3,Honda,26,0,4,IT,149.9,+32.333
2016,Moto3,1,QAT,Losail,2423,"Mcphee, John",Peugeot MC Saxoprint,Peugeot,27,0,17,GB,149.9,+32.547
2016,Moto3,1,QAT,Losail,2566,"Suzuki, Tatsuki",CIP-Unicom Starker,Mahindra,28,0,24,JP,149.9,+32.812
2016,Moto3,1,QAT,Losail,2483,"Valtulini, Stefano",3570 Team Italia,Mahindra,29,0,43,IT,149.8,+34.584
2016,Moto3,1,QAT,Losail,2534,"Hanika, Karel",Platinum Bay Real Estate,Mahindra,30,0,98,CZ,148.2,+59.105
2016,Moto3,1,QAT,Losail,2552,"Petrarca, Lorenzo",3570 Team Italia,Mahindra,31,0,77,IT,148.2,+59.109
